HUGO Symbol	Type	Chromosome	Significance	Freq	% Markers Altered
DENND4B	Amp	1	0.0017336	0.15506	1
ARHGEF2	Amp	1	0.00014642	0.16404	1
KIAA1107	Amp	1	0.16804	0.13258	1
KIAA1383	Amp	1	0.12396	0.13483	1
ZSWIM5	Amp	1	0.013386	0.14607	1
POGK	Amp	1	0.22247	0.13034	1
EIF2C3	Amp	1	0.16804	0.13258	1
KIAA1614	Amp	1	0.06475	0.13708	1
ABCB10	Amp	1	0.22247	0.13034	1
EPHX4	Amp	1	0.22247	0.13034	1
ABL2	Amp	1	0.090074	0.13708	1
ACBD3	Amp	1	0.090074	0.13708	1
ACBD6	Amp	1	0.090074	0.13708	1
ACP6	Amp	1	0.22247	0.13034	1
ACTA1	Amp	1	0.22247	0.13034	1
ACTN2	Amp	1	0.0056764	0.15056	1
ADAM15	Amp	1	0.0021617	0.15506	1
ADAMTS4	Amp	1	0.06475	0.13933	1
ADAMTSL4	Amp	1	0.00014642	0.16404	1
ADAR	Amp	1	0.0089249	0.14831	1
ADC	Amp	1	0.22247	0.13034	0.4
ADIPOR1	Amp	1	0.0007772	0.15955	1
ADORA1	Amp	1	0.00045517	0.1618	1
ADPRHL2	Amp	1	0.22247	0.13034	1
ADSS	Amp	1	0.00045517	0.1618	1
MDM4	Amp	1	9.9957e-013	0.21348	1
AGL	Amp	1	0.22247	0.13034	0.5
AGT	Amp	1	0.038011	0.14157	1
AHCTF1	Amp	1	0.03084	0.14382	1
AIM2	Amp	1	0.16804	0.13258	1
PTPRVP	Amp	1	0.0056764	0.14831	1
ZBTB37	Amp	1	0.03084	0.14382	1
DUSP5P	Amp	1	0.22247	0.13034	1
C1orf132	Amp	1	0.16804	0.13258	1
NCRNA00201	Amp	1	0.0013055	0.1573	1
C1orf204	Amp	1	0.12396	0.13483	1
FAM76A	Amp	1	0.16804	0.13258	1
PEAR1	Amp	1	0.06475	0.13933	1
FMO6P	Amp	1	0.22247	0.13034	1
C1orf185	Amp	1	0.090074	0.13708	1
FCRL6	Amp	1	0.12396	0.13483	1
SYPL2	Amp	1	0.22247	0.13034	1
AK2	Amp	1	0.22247	0.13034	1
AKR1A1	Amp	1	0.013386	0.14607	1
AKT3	Amp	1	0.0013055	0.1573	1
TATDN3	Amp	1	0.090074	0.13708	1
ALDH9A1	Amp	1	0.12396	0.13483	1
ALG6	Amp	1	0.16804	0.13258	1
AMY2A	Amp	1	1.7383e-012	0.21348	1
AMY2B	Amp	1	8.1617e-005	0.16629	0.66667
ANGEL2	Amp	1	0.06475	0.13933	1
ANKRD34A	Amp	1	0.045183	0.14157	1
ANKRD35	Amp	1	0.045183	0.14157	1
KANK4	Amp	1	0.12396	0.13483	1
ANKRD45	Amp	1	0.06475	0.13933	1
ANP32E	Amp	1	0.0007772	0.15955	1
ANXA9	Amp	1	8.1617e-005	0.16629	1
APCS	Amp	1	0.090074	0.13708	1
APH1A	Amp	1	0.0007772	0.15955	1
APOA1BP	Amp	1	0.0089249	0.14831	1
APOA2	Amp	1	0.045183	0.14157	1
AQP10	Amp	1	0.0013055	0.1573	1
ARHGAP30	Amp	1	0.06475	0.13933	1
ARHGEF11	Amp	1	0.077412	0.13708	1
ARHGEF2	Amp	1	8.1617e-005	0.16629	1
ARID4B	Amp	1	0.00014642	0.1618	1
ARL8A	Amp	1	0.0035322	0.15281	1
ARNT	Amp	1	8.1617e-005	0.16629	1
ARPC5	Amp	1	0.045183	0.14157	1
ARTN	Amp	1	0.22247	0.13034	1
ARV1	Amp	1	0.06475	0.13933	1
ASH1L	Amp	1	2.4083e-005	0.16854	1
ASPM	Amp	1	0.013386	0.14607	1
ASTN1	Amp	1	0.16804	0.13258	1
ATF3	Amp	1	0.090074	0.13708	1
ATF6	Amp	1	0.19526	0.13034	0.86957
ATG4C	Amp	1	0.16804	0.13258	1
ATP1A2	Amp	1	0.038011	0.14157	1
ATP1A4	Amp	1	0.013386	0.14607	1
ATP1B1	Amp	1	0.22247	0.13034	1
ATP2B4	Amp	1	6.9219e-009	0.19326	1
ATP6V0B	Amp	1	0.16804	0.13258	1
ATP6V1G3	Amp	1	0.013386	0.14607	1
ATP8B2	Amp	1	0.0013055	0.1573	1
ATPIF1	Amp	1	0.06475	0.13933	1
ATXN7L2	Amp	1	0.22247	0.13034	1
SLAMF9	Amp	1	0.06475	0.13933	1
CR1L	Amp	1	0.12396	0.13483	1
B3GALNT2	Amp	1	8.1617e-005	0.16629	1
B4GALT2	Amp	1	0.16804	0.13258	1
B4GALT3	Amp	1	0.06475	0.13933	1
PRRC2C	Amp	1	0.16804	0.13258	1
FMO4	Amp	1	0.22247	0.13034	1
AMY2A	Amp	1	8.1617e-005	0.15056	1
FMO9P	Amp	1	0.22247	0.13034	1
PCP4L1	Amp	1	0.06475	0.13933	1
IPP	Amp	1	0.013386	0.14607	1
C1orf98	Amp	1	0.0013055	0.1573	1
NID1	Amp	1	0.00045517	0.1618	1
BCAN	Amp	1	0.013386	0.14607	1
BCL9	Amp	1	0.22247	0.13034	1
BLZF1	Amp	1	0.146	0.13258	1
BMP8A	Amp	1	0.16804	0.13258	1
BMP8B	Amp	1	0.22247	0.13034	1
BNIPL	Amp	1	0.00014642	0.16404	1
BOLA1	Amp	1	0.013386	0.14607	1
BRDT	Amp	1	0.22247	0.13034	0.57143
BRP44	Amp	1	0.22247	0.13034	1
BTBD8	Amp	1	0.22247	0.13034	1
BTF3L4	Amp	1	0.10702	0.13483	1
BTG2	Amp	1	8.1617e-005	0.16629	1
C1orf100	Amp	1	0.0013055	0.1573	1
C1orf101	Amp	1	0.0007772	0.15506	1
OSCP1	Amp	1	0.16804	0.13258	1
C1orf105	Amp	1	0.16804	0.13258	1
C1orf106	Amp	1	0.03084	0.14157	1
DIEXF	Amp	1	0.22247	0.13034	1
AKIRIN1	Amp	1	0.12396	0.13483	1
C1orf112	Amp	1	0.22247	0.13034	1
SH3D21	Amp	1	0.16804	0.13258	1
C1orf114	Amp	1	0.16804	0.13258	1
C1orf116	Amp	1	0.090074	0.13708	1
FAM131C	Amp	1	0.12396	0.13483	0.33333
C1orf118	Amp	1	0.16804	0.13258	1
NCRNA00272	Amp	1	0.090074	0.13708	1
PPPDE1	Amp	1	0.0013055	0.1573	1
C1orf124	Amp	1	0.12396	0.13483	1
AXDND1	Amp	1	0.12396	0.13483	1
C1orf129	Amp	1	0.22247	0.13034	0.625
C1orf131	Amp	1	0.090074	0.13708	1
SHCBP1L	Amp	1	0.090074	0.13708	1
SNAP47	Amp	1	0.22247	0.13034	0.16667
C1orf146	Amp	1	0.16804	0.13258	1
C1orf150	Amp	1	0.045183	0.14157	1
CENPL	Amp	1	0.045183	0.14157	1
METTL18	Amp	1	0.22247	0.13034	1
NCRNA00303	Amp	1	2.6087e-013	0.21798	1
SELRC1	Amp	1	0.013386	0.14607	1
RNF220	Amp	1	0.19526	0.12809	0.72
DEM1	Amp	1	0.16804	0.13258	1
C1orf182	Amp	1	0.00045517	0.1618	1
C1orf186	Amp	1	0.06475	0.13708	1
TSEN15	Amp	1	0.06475	0.13933	1
C1orf190	Amp	1	0.03084	0.14157	1
C1orf192	Amp	1	0.06475	0.13933	1
C1orf198	Amp	1	0.013386	0.14607	1
FAM189B	Amp	1	0.0013055	0.1573	1
C1orf21	Amp	1	0.06475	0.13933	1
FAM129A	Amp	1	0.090074	0.13708	1
TRMT1L	Amp	1	0.090074	0.13483	1
SWT1	Amp	1	0.090074	0.13708	1
C1orf27	Amp	1	0.06475	0.13933	1
C1orf31	Amp	1	0.090074	0.13708	1
ILDR2	Amp	1	0.22247	0.13034	1
RD3	Amp	1	0.06475	0.13933	1
TMEM183A	Amp	1	0.0007772	0.15955	1
C1orf38	Amp	1	0.16804	0.13258	1
CRCT1	Amp	1	0.06475	0.13933	1
C1orf43	Amp	1	0.0007772	0.15955	1
KPRP	Amp	1	0.0035322	0.15281	1
NSL1	Amp	1	0.090074	0.13708	1
C1orf49	Amp	1	0.090074	0.13708	1
C1orf51	Amp	1	0.0007772	0.15955	1
C1orf53	Amp	1	0.013386	0.14607	1
C1orf54	Amp	1	0.0007772	0.15955	1
C1orf55	Amp	1	0.06475	0.13933	1
C1orf56	Amp	1	0.00014642	0.16404	1
NTPCR	Amp	1	0.12396	0.13483	1
C1orf61	Amp	1	0.0035322	0.15056	1
RRNAD1	Amp	1	0.013386	0.14607	1
CNST	Amp	1	0.03084	0.14382	1
C1orf74	Amp	1	0.22247	0.13034	1
TMEM206	Amp	1	0.06475	0.13933	1
FAM163A	Amp	1	0.12396	0.13483	1
CHTOP	Amp	1	0.0013055	0.1573	1
RPAP2	Amp	1	0.22247	0.13034	1
C1orf85	Amp	1	0.00045517	0.1618	1
C1orf9	Amp	1	0.16804	0.13258	1
FAM167B	Amp	1	0.22247	0.13034	1
TMEM234	Amp	1	0.22247	0.13034	1
LRRC71	Amp	1	0.06475	0.13933	1
C1orf95	Amp	1	0.16804	0.13258	1
C1orf96	Amp	1	0.22247	0.13034	1
C1orf97	Amp	1	0.06475	0.13933	1
ERVMER61-1	Amp	1	0.013386	0.14607	1
C4BPA	Amp	1	0.12396	0.13483	1
C4BPB	Amp	1	0.12396	0.13483	1
CA14	Amp	1	0.0007772	0.15955	1
ADCK3	Amp	1	0.12396	0.13483	1
CACNA1E	Amp	1	0.090074	0.13708	1
CACNA1S	Amp	1	0.03084	0.14382	1
CACYBP	Amp	1	0.045183	0.14157	1
CAMK1G	Amp	1	0.12396	0.13483	1
CAMSAP1L1	Amp	1	0.0028469	0.15056	1
CAP1	Amp	1	0.090074	0.13708	1
CAPN9	Amp	1	0.013386	0.14607	1
CASQ1	Amp	1	0.013386	0.14607	1
CC2D1B	Amp	1	0.090074	0.13708	1
CCDC19	Amp	1	0.090074	0.13708	1
CCDC24	Amp	1	0.16804	0.13258	1
CCDC28B	Amp	1	0.22247	0.13034	1
CCNL2	Amp	1	2.0003e-015	0.26067	1
CCT3	Amp	1	0.00045517	0.1618	1
CD160	Amp	1	0.077412	0.13708	1
CD1A	Amp	1	0.090074	0.13708	1
CD1B	Amp	1	0.16804	0.13258	1
CD1C	Amp	1	0.12396	0.13483	1
CD1D	Amp	1	0.090074	0.13708	1
CD1E	Amp	1	0.16804	0.13258	1
CD244	Amp	1	0.12396	0.13483	1
CD247	Amp	1	0.22247	0.13034	1
CD34	Amp	1	0.16804	0.13258	1
CD46	Amp	1	0.16804	0.13258	1
CD48	Amp	1	0.16804	0.13258	1
CD55	Amp	1	0.12396	0.13483	1
CD5L	Amp	1	0.090074	0.13708	1
CD84	Amp	1	0.12396	0.13483	1
CDC42BPA	Amp	1	0.12396	0.13258	1
CDC42SE1	Amp	1	0.00014642	0.16404	1
CDC73	Amp	1	0.013386	0.14607	1
CDKN2C	Amp	1	0.22247	0.13034	0.5
CELSR2	Amp	1	0.16804	0.13258	1
CEP170	Amp	1	0.0046043	0.14831	1
CEP350	Amp	1	0.077412	0.13708	1
CFH	Amp	1	0.013386	0.14607	1
CFHR2	Amp	1	0.013386	0.14607	1
CFHR4	Amp	1	0.0056764	0.15056	1
CFHR5	Amp	1	0.013386	0.14607	1
CGN	Amp	1	0.0007772	0.15955	1
CHI3L1	Amp	1	0.00045517	0.1618	1
CHIT1	Amp	1	0.00014642	0.16404	1
CHRM3	Amp	1	0.013386	0.14607	1
CHRNB2	Amp	1	0.0073006	0.14831	1
NLRP3	Amp	1	0.06475	0.13933	1
CITED4	Amp	1	0.22247	0.13034	1
CKS1B	Amp	1	0.0056764	0.15056	1
CLCNKB	Amp	1	0.03084	0.14382	1
CLK2	Amp	1	0.0007772	0.15955	1
CMPK1	Amp	1	0.16804	0.13258	1
CNIH4	Amp	1	0.22247	0.13034	1
CNTN2	Amp	1	1.0849e-010	0.20225	1
COG2	Amp	1	0.045183	0.14157	1
COL8A2	Amp	1	0.22247	0.13034	1
COL9A2	Amp	1	0.12396	0.13483	1
COPA	Amp	1	0.090074	0.13708	1
CR1	Amp	1	0.12396	0.13483	1
CR2	Amp	1	0.12396	0.13483	1
CRABP2	Amp	1	0.013386	0.14607	1
CRB1	Amp	1	0.013386	0.14607	1
CREB3L4	Amp	1	0.0021617	0.15506	1
CREG1	Amp	1	0.22247	0.13034	1
CRNN	Amp	1	0.090074	0.13708	1
CROCC	Amp	1	0.00469	0.14607	0.33333
CRP	Amp	1	0.090074	0.13708	1
CRTC2	Amp	1	0.0021617	0.15506	1
CSF3R	Amp	1	0.22247	0.13034	1
CSRP1	Amp	1	0.013386	0.14382	1
CTSE	Amp	1	0.06475	0.13708	1
CTSK	Amp	1	4.4654e-005	0.16854	1
CTSS	Amp	1	4.4654e-005	0.16854	1
CYB5R1	Amp	1	0.0007772	0.15955	1
CYP4B1	Amp	1	0.22247	0.13034	0.33333
DAP3	Amp	1	2.4083e-005	0.17079	1
DARC	Amp	1	0.22247	0.13034	1
DARS2	Amp	1	0.038011	0.14157	1
DCST1	Amp	1	0.0021617	0.15506	1
DCST2	Amp	1	0.0021617	0.15506	1
DDX59	Amp	1	0.0017336	0.15506	1
DEDD	Amp	1	0.06475	0.13933	1
DEGS1	Amp	1	0.22247	0.13034	1
DENND1B	Amp	1	0.013386	0.14607	1
DHX9	Amp	1	0.090074	0.13708	1
DISC1	Amp	1	0.12396	0.13483	1
IGFN1	Amp	1	0.03084	0.14382	1
DMAP1	Amp	1	0.12396	0.13483	1
DNAJC8	Amp	1	0.06475	0.13933	1
DNM3	Amp	1	0.22247	0.13034	1
DOCK7	Amp	1	0.22247	0.13034	1
DPH2	Amp	1	0.16804	0.13258	1
DPM3	Amp	1	0.0035322	0.15281	1
DPT	Amp	1	0.22247	0.13034	1
DTL	Amp	1	0.045183	0.14157	1
DUSP12	Amp	1	0.12396	0.13483	1
DUSP23	Amp	1	0.12396	0.13483	1
DYRK3	Amp	1	0.06475	0.13933	1
L1TD1	Amp	1	0.12396	0.13483	1
ECHDC2	Amp	1	0.06475	0.13933	1
ECM1	Amp	1	0.00014642	0.16404	1
EDARADD	Amp	1	0.0007772	0.15955	1
EDEM3	Amp	1	0.090074	0.13708	1
EFCAB2	Amp	1	0.0021617	0.15506	1
EFNA1	Amp	1	0.0035322	0.15281	1
EFNA3	Amp	1	0.0021617	0.15506	1
EFNA4	Amp	1	0.0021617	0.15506	1
EGLN1	Amp	1	0.12396	0.13483	1
EIF2B3	Amp	1	0.03084	0.14157	1
EIF2C1	Amp	1	0.16804	0.13258	1
EIF2C3	Amp	1	0.16804	0.13258	1
EIF2C4	Amp	1	0.19526	0.13034	0.8
EIF3I	Amp	1	0.22247	0.13034	1
ELAVL4	Amp	1	0.19526	0.13034	0.4
ELF3	Amp	1	0.0089249	0.14831	1
ELK4	Amp	1	0.0017336	0.15506	1
ENAH	Amp	1	0.12396	0.13483	1
ENSA	Amp	1	8.1617e-005	0.16629	1
EPB41	Amp	1	0.03084	0.14382	1
EPHX1	Amp	1	0.12396	0.13483	1
EPS15	Amp	1	0.090074	0.13708	1
ERO1LB	Amp	1	0.00045517	0.1618	1
ETNK2	Amp	1	3.4903e-014	0.22022	1
ETV3	Amp	1	0.090074	0.13708	1
EVI5	Amp	1	0.22247	0.13034	0.41935
EXO1	Amp	1	0.045183	0.13933	1
EXOC8	Amp	1	0.12396	0.13483	1
EYA3	Amp	1	0.06475	0.13708	1
F11R	Amp	1	0.06475	0.13933	1
F13B	Amp	1	0.013386	0.14607	1
F5	Amp	1	0.22247	0.13034	1
FAAH	Amp	1	0.146	0.13258	1
FAF1	Amp	1	0.10702	0.13034	0.56604
FAIM3	Amp	1	0.090074	0.13708	1
FAM20B	Amp	1	0.090074	0.13708	1
FAM36A	Amp	1	0.0013055	0.1573	1
FAM5B	Amp	1	0.22247	0.13034	1
FAM5C	Amp	1	0.013386	0.14607	1
FAM63A	Amp	1	0.00045517	0.1618	1
FAM71A	Amp	1	0.090074	0.13708	1
FAM73A	Amp	1	0.16804	0.13258	1
FAM76A	Amp	1	0.16804	0.13258	1
NKAIN1	Amp	1	0.22247	0.13034	1
FAM89A	Amp	1	0.06475	0.13933	1
FASLG	Amp	1	0.16804	0.13258	1
FBXO28	Amp	1	0.22247	0.13034	1
FCAMR	Amp	1	0.090074	0.13708	1
FCER1A	Amp	1	0.22247	0.13034	1
FCER1G	Amp	1	0.045183	0.14157	1
FCGR2A	Amp	1	0.0035322	0.13933	1
FCGR2B	Amp	1	0.090074	0.13483	1
FCGR3A	Amp	1	0.0013055	0.1573	1
