rho,cnv_chr,cnv_gene,ge_chr,ge_gene
0.887053,1,ATP2B4,1,ATP2B4
0.867893,1,ATP2B4,1,ATP2B4
0.866447,1,ATP2B4,1,ATP2B4
0.866447,1,ATP2B4,1,ATP2B4
0.847153,1,ATP2B4,1,ATP2B4
0.847153,1,ATP2B4,1,ATP2B4
0.839928,1,ATP2B4,1,ATP2B4
0.839928,1,ATP2B4,1,ATP2B4
0.839928,1,ATP2B4,1,ATP2B4
0.839928,1,ATP2B4,1,ATP2B4
0.839499,1,ATP2B4,1,ATP2B4
0.839386,1,ATP2B4,1,ATP2B4
0.839386,1,ATP2B4,1,ATP2B4
0.839386,1,ATP2B4,1,ATP2B4
0.830536,1,YARS,1,YARS
0.830536,1,YARS,1,YARS
0.830536,1,YARS,1,YARS
0.830536,1,YARS,1,YARS
0.824848,1,PRDM2,1,PRDM2
0.823702,1,AK2,1,AK2
0.823702,1,AK2,1,AK2
0.823702,1,AK2,1,AK2
0.823702,1,AK2,1,AK2
0.822227,1,PRDM2,1,PRDM2
0.822224,1,PRDM2,1,PRDM2
0.822224,1,PRDM2,1,PRDM2
0.822224,1,PRDM2,1,PRDM2
0.822224,1,PRDM2,1,PRDM2
0.822224,1,PRDM2,1,PRDM2
0.822224,1,PRDM2,1,PRDM2
0.821518,1,ATP2B4,1,ATP2B4
0.821348,1,ATP2B4,1,ATP2B4
0.821348,1,ATP2B4,1,ATP2B4
0.821348,1,ATP2B4,1,ATP2B4
0.821348,1,ATP2B4,1,ATP2B4
0.821245,1,ATP2B4,1,ATP2B4
0.821245,1,ATP2B4,1,ATP2B4
0.821245,1,ATP2B4,1,ATP2B4
0.820873,1,AK2,1,AK2
0.820873,1,AK2,1,AK2
0.820873,1,AK2,1,AK2
0.820873,1,AK2,1,AK2
0.813189,1,ATP2B4,1,ATP2B4
0.813189,1,ATP2B4,1,ATP2B4
0.813189,1,ATP2B4,1,ATP2B4
0.809764,1,PRDM2,1,PRDM2
0.806762,1,PRDM2,1,PRDM2
0.806749,1,PRDM2,1,PRDM2
0.806749,1,PRDM2,1,PRDM2
0.806749,1,PRDM2,1,PRDM2
0.806749,1,PRDM2,1,PRDM2
